Nr,KeggModule,KeggModuleNR,KeggModuleName,CategoryGlobal,Category,KeggModuleOrder
616,Environmental information processing - Two-component regulatory system - M00654: ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system,M00654,M00654: ParS-ParR (polymyxin-adaptive resistance) two-component regulatory system,Environmental information processing,Two-component regulatory system,616
617,Environmental information processing - Two-component regulatory system - M00655: AdeS-AdeR two-component regulatory system,M00655,M00655: AdeS-AdeR two-component regulatory system,Environmental information processing,Two-component regulatory system,617
618,Environmental information processing - Two-component regulatory system - M00656: VanS-VanR (VanB type vancomycin resistance) two-component regulatory system,M00656,M00656: VanS-VanR (VanB type vancomycin resistance) two-component regulatory system,Environmental information processing,Two-component regulatory system,618
619,Environmental information processing - Two-component regulatory system - M00657: VanS-VanR (VanE type vancomycin resistance) two-component regulatory system,M00657,M00657: VanS-VanR (VanE type vancomycin resistance) two-component regulatory system,Environmental information processing,Two-component regulatory system,619
620,Environmental information processing - Two-component regulatory system - M00658: VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system,M00658,M00658: VanS-VanR (actinomycete type vancomycin resistance) two-component regulatory system,Environmental information processing,Two-component regulatory system,620
621,"Gene set - Plant pathogenicity - M00660: Xanthomonas spp. pathogenicity signature, T3SS and effectors",M00660,"M00660: Xanthomonas spp. pathogenicity signature, T3SS and effectors",Gene set,Plant pathogenicity,621
622,"Secondary metabolism - Biosynthesis of secondary metabolites - M00661: Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",M00661,"M00661: Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline",Secondary metabolism,Biosynthesis of secondary metabolites,622
623,Environmental information processing - Two-component regulatory system - M00662: Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system,M00662,M00662: Hk1-Rrp1 (glycerol uptake and utilization) two-component regulatory system,Environmental information processing,Two-component regulatory system,623
624,Environmental information processing - Two-component regulatory system - M00663: SsrA-SsrB two-component regulatory system,M00663,M00663: SsrA-SsrB two-component regulatory system,Environmental information processing,Two-component regulatory system,624
625,Gene set - Symbiosis - M00664: Nodulation,M00664,M00664: Nodulation,Gene set,Symbiosis,625
626,"Environmental information processing - Drug efflux transporter/pump - M00667: Tetracycline resistance, efflux pump",M00667,"M00667: Tetracycline resistance, efflux pump",Environmental information processing,Drug efflux transporter/pump,626
627,"Environmental information processing - Drug efflux transporter/pump - M00668: Tetracycline resistance, TetA transporter",M00668,"M00668: Tetracycline resistance, TetA transporter",Environmental information processing,Drug efflux transporter/pump,627
628,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00669: gamma-Hexachlorocyclohexane transport system",M00669,M00669: gamma-Hexachlorocyclohexane transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",628
629,"Environmental information processing - Saccharide, polyol, and lipid transport system - M00670: Mce transport system",M00670,M00670: Mce transport system,Environmental information processing,"Saccharide, polyol, and lipid transport system",629
630,"Secondary metabolism - Biosynthesis of secondary metabolites - M00672: Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",M00672,"M00672: Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin",Secondary metabolism,Biosynthesis of secondary metabolites,630
631,"Secondary metabolism - Biosynthesis of secondary metabolites - M00673: Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",M00673,"M00673: Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C",Secondary metabolism,Biosynthesis of secondary metabolites,631
632,"Secondary metabolism - Biosynthesis of secondary metabolites - M00674: Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",M00674,"M00674: Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate",Secondary metabolism,Biosynthesis of secondary metabolites,632
633,"Secondary metabolism - Biosynthesis of secondary metabolites - M00675: Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",M00675,"M00675: Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate",Secondary metabolism,Biosynthesis of secondary metabolites,633
634,Cellular processes - Cell signaling - M00676: PI3K-Akt signaling,M00676,M00676: PI3K-Akt signaling,Cellular processes,Cell signaling,634
635,Cellular processes - Cell signaling - M00677: Wnt signaling,M00677,M00677: Wnt signaling,Cellular processes,Cell signaling,635
636,Cellular processes - Cell signaling - M00678: Hedgehog signaling,M00678,M00678: Hedgehog signaling,Cellular processes,Cell signaling,636
637,Cellular processes - Cell signaling - M00679: BMP signaling,M00679,M00679: BMP signaling,Cellular processes,Cell signaling,637
638,Cellular processes - Cell signaling - M00680: TGF-beta signaling,M00680,M00680: TGF-beta signaling,Cellular processes,Cell signaling,638
639,Cellular processes - Cell signaling - M00681: Activin signaling,M00681,M00681: Activin signaling,Cellular processes,Cell signaling,639
640,Cellular processes - Cell signaling - M00682: Notch signaling,M00682,M00682: Notch signaling,Cellular processes,Cell signaling,640
641,Cellular processes - Cell signaling - M00683: Hippo signaling,M00683,M00683: Hippo signaling,Cellular processes,Cell signaling,641
642,Cellular processes - Cell signaling - M00684: JAK-STAT signaling,M00684,M00684: JAK-STAT signaling,Cellular processes,Cell signaling,642
643,Cellular processes - Cell signaling - M00685: Apoptotic machinery,M00685,M00685: Apoptotic machinery,Cellular processes,Cell signaling,643
644,Cellular processes - Cell signaling - M00686: Toll-like receptor signaling,M00686,M00686: Toll-like receptor signaling,Cellular processes,Cell signaling,644
645,Cellular processes - Cell signaling - M00687: MAPK (ERK1/2) signaling,M00687,M00687: MAPK (ERK1/2) signaling,Cellular processes,Cell signaling,645
646,Cellular processes - Cell signaling - M00688: MAPK (JNK) signaling,M00688,M00688: MAPK (JNK) signaling,Cellular processes,Cell signaling,646
647,Cellular processes - Cell signaling - M00689: MAPK (p38) signaling,M00689,M00689: MAPK (p38) signaling,Cellular processes,Cell signaling,647
648,Cellular processes - Cell signaling - M00690: MAPK (ERK5) signaling,M00690,M00690: MAPK (ERK5) signaling,Cellular processes,Cell signaling,648
649,Cellular processes - Cell signaling - M00691: DNA damage-induced cell cycle checkpoints,M00691,M00691: DNA damage-induced cell cycle checkpoints,Cellular processes,Cell signaling,649
650,Cellular processes - Cell signaling - M00692: Cell cycle - G1/S transition,M00692,M00692: Cell cycle - G1/S transition,Cellular processes,Cell signaling,650
651,Cellular processes - Cell signaling - M00693: Cell cycle - G2/M transition,M00693,M00693: Cell cycle - G2/M transition,Cellular processes,Cell signaling,651
652,Cellular processes - Cell signaling - M00694: cGMP signaling,M00694,M00694: cGMP signaling,Cellular processes,Cell signaling,652
653,Cellular processes - Cell signaling - M00695: cAMP signaling,M00695,M00695: cAMP signaling,Cellular processes,Cell signaling,653
654,"Gene set - Drug resistance - M00696: Multidrug resistance, efflux pump AcrEF-TolC",M00696,"M00696: Multidrug resistance, efflux pump AcrEF-TolC",Gene set,Drug resistance,654
655,"Gene set - Drug resistance - M00697: Multidrug resistance, efflux pump MdtEF-TolC",M00697,"M00697: Multidrug resistance, efflux pump MdtEF-TolC",Gene set,Drug resistance,655
656,"Gene set - Drug resistance - M00698: Multidrug resistance, efflux pump BpeEF-OprC",M00698,"M00698: Multidrug resistance, efflux pump BpeEF-OprC",Gene set,Drug resistance,656
657,"Environmental information processing - Drug efflux transporter/pump - M00699: Multidrug resistance, efflux pump AmeABC",M00699,"M00699: Multidrug resistance, efflux pump AmeABC",Environmental information processing,Drug efflux transporter/pump,657
658,"Gene set - Drug resistance - M00700: Multidrug resistance, efflux pump AbcA",M00700,"M00700: Multidrug resistance, efflux pump AbcA",Gene set,Drug resistance,658
659,"Environmental information processing - Drug efflux transporter/pump - M00701: Multidrug resistance, efflux pump EmrAB",M00701,"M00701: Multidrug resistance, efflux pump EmrAB",Environmental information processing,Drug efflux transporter/pump,659
660,"Gene set - Drug resistance - M00702: Multidrug resistance, efflux pump NorB",M00702,"M00702: Multidrug resistance, efflux pump NorB",Gene set,Drug resistance,660
661,"Gene set - Drug resistance - M00704: Tetracycline resistance, efflux pump Tet38",M00704,"M00704: Tetracycline resistance, efflux pump Tet38",Gene set,Drug resistance,661
662,"Gene set - Drug resistance - M00705: Multidrug resistance, efflux pump MepA",M00705,"M00705: Multidrug resistance, efflux pump MepA",Gene set,Drug resistance,662
663,"Environmental information processing - Drug efflux transporter/pump - M00706: Multidrug resistance, EfrAB transporter",M00706,"M00706: Multidrug resistance, EfrAB transporter",Environmental information processing,Drug efflux transporter/pump,663
664,"Environmental information processing - Drug efflux transporter/pump - M00707: Multidrug resistance, MdlAB/SmdAB transporter",M00707,"M00707: Multidrug resistance, MdlAB/SmdAB transporter",Environmental information processing,Drug efflux transporter/pump,664
665,"Environmental information processing - Drug efflux transporter/pump - M00708: Multidrug resistance, PatAB transporter",M00708,"M00708: Multidrug resistance, PatAB transporter",Environmental information processing,Drug efflux transporter/pump,665
666,"Environmental information processing - Drug efflux transporter/pump - M00709: Macrolide resistance, MacAB-TolC transporter",M00709,"M00709: Macrolide resistance, MacAB-TolC transporter",Environmental information processing,Drug efflux transporter/pump,666
667,"Environmental information processing - Drug efflux transporter/pump - M00710: Multidrug resistance, efflux pump EbrAB",M00710,"M00710: Multidrug resistance, efflux pump EbrAB",Environmental information processing,Drug efflux transporter/pump,667
668,"Environmental information processing - Drug efflux transporter/pump - M00711: Multidrug resistance, efflux pump MdtIJ",M00711,"M00711: Multidrug resistance, efflux pump MdtIJ",Environmental information processing,Drug efflux transporter/pump,668
669,"Environmental information processing - Drug efflux transporter/pump - M00712: Multidrug resistance, efflux pump YkkCD",M00712,"M00712: Multidrug resistance, efflux pump YkkCD",Environmental information processing,Drug efflux transporter/pump,669
670,"Environmental information processing - Drug efflux transporter/pump - M00713: Fluoroquinolone resistance, efflux pump LfrA",M00713,"M00713: Fluoroquinolone resistance, efflux pump LfrA",Environmental information processing,Drug efflux transporter/pump,670
671,"Gene set - Drug resistance - M00714: Multidrug resistance, efflux pump QacA",M00714,"M00714: Multidrug resistance, efflux pump QacA",Gene set,Drug resistance,671
672,"Environmental information processing - Drug efflux transporter/pump - M00715: Lincosamide resistance, efflux pump LmrB",M00715,"M00715: Lincosamide resistance, efflux pump LmrB",Environmental information processing,Drug efflux transporter/pump,672
673,Environmental information processing - Two-component regulatory system - M00716: ArlS-ArlR (virulence regulation) two-component regulatory system,M00716,M00716: ArlS-ArlR (virulence regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,673
674,"Environmental information processing - Drug efflux transporter/pump - M00717: Multidrug resistance, efflux pump NorA",M00717,"M00717: Multidrug resistance, efflux pump NorA",Environmental information processing,Drug efflux transporter/pump,674
675,"Gene set - Drug resistance - M00718: Multidrug resistance, efflux pump MexAB-OprM",M00718,"M00718: Multidrug resistance, efflux pump MexAB-OprM",Gene set,Drug resistance,675
676,Environmental information processing - Two-component regulatory system - M00719: Ihk-Irr (virulence regulation) two-component regulatory system,M00719,M00719: Ihk-Irr (virulence regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,676
677,"Environmental information processing - Drug efflux transporter/pump - M00720: Multidrug resistance, efflux pump VexEF-TolC",M00720,"M00720: Multidrug resistance, efflux pump VexEF-TolC",Environmental information processing,Drug efflux transporter/pump,677
678,"Environmental information processing - Drug resistance - M00721: Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon",M00721,"M00721: Cationic antimicrobial peptide (CAMP) resistance, arnBCADTEF operon",Environmental information processing,Drug resistance,678
679,"Environmental information processing - Drug resistance - M00722: Cationic antimicrobial peptide (CAMP) resistance, ethanolaminephosphotransferase EptA",M00722,"M00722: Cationic antimicrobial peptide (CAMP) resistance, ethanolaminephosphotransferase EptA",Environmental information processing,Drug resistance,679
680,"Environmental information processing - Drug resistance - M00723: Cationic antimicrobial peptide (CAMP) resistance,  ethanolaminephosphotransferase EptB",M00723,"M00723: Cationic antimicrobial peptide (CAMP) resistance,  ethanolaminephosphotransferase EptB",Environmental information processing,Drug resistance,680
681,"Environmental information processing - Drug resistance - M00724: Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP",M00724,"M00724: Cationic antimicrobial peptide (CAMP) resistance, palmitoyl transferase PagP",Environmental information processing,Drug resistance,681
682,"Gene set - Drug resistance - M00725: Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",M00725,"M00725: Cationic antimicrobial peptide (CAMP) resistance, dltABCD operon",Gene set,Drug resistance,682
683,"Gene set - Drug resistance - M00726: Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",M00726,"M00726: Cationic antimicrobial peptide (CAMP) resistance, lysyl-phosphatidylglycerol (L-PG) synthase MprF",Gene set,Drug resistance,683
684,"Environmental information processing - Drug resistance - M00727: Cationic antimicrobial peptide (CAMP) resistance,  N-acetylmuramoyl-L-alanine amidase AmiA and AmiC",M00727,"M00727: Cationic antimicrobial peptide (CAMP) resistance,  N-acetylmuramoyl-L-alanine amidase AmiA and AmiC",Environmental information processing,Drug resistance,684
685,"Environmental information processing - Drug resistance - M00728: Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA",M00728,"M00728: Cationic antimicrobial peptide (CAMP) resistance, envelope protein folding and degrading  factors DegP and DsbA",Environmental information processing,Drug resistance,685
686,"Environmental information processing - Drug resistance - M00729: Fluoroquinolone resistance, gyrase-protecting protein Qnr",M00729,"M00729: Fluoroquinolone resistance, gyrase-protecting protein Qnr",Environmental information processing,Drug resistance,686
687,"Gene set - Drug resistance - M00730: Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",M00730,"M00730: Cationic antimicrobial peptide (CAMP) resistance, VraFG transporter",Gene set,Drug resistance,687
688,Environmental information processing - ABC-2 type and other transport systems - M00731: Bacitracin transport system,M00731,M00731: Bacitracin transport system,Environmental information processing,ABC-2 type and other transport systems,688
689,Environmental information processing - ABC-2 type and other transport systems - M00732: Cationic antimicrobial peptide transport system,M00732,M00732: Cationic antimicrobial peptide transport system,Environmental information processing,ABC-2 type and other transport systems,689
690,Environmental information processing - Two-component regulatory system - M00733: GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system,M00733,M00733: GraS-GraR (cationic antimicrobial peptide transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,690
691,Environmental information processing - Two-component regulatory system - M00734: BraS-BraR (bacitracin transport) two-component regulatory system,M00734,M00734: BraS-BraR (bacitracin transport) two-component regulatory system,Environmental information processing,Two-component regulatory system,691
692,"Secondary metabolism - Biosynthesis of secondary metabolites - M00736: Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",M00736,"M00736: Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A",Secondary metabolism,Biosynthesis of secondary metabolites,692
693,"Environmental information processing - Drug efflux transporter/pump - M00737: Bacitracin resistance, VraDE transporter",M00737,"M00737: Bacitracin resistance, VraDE transporter",Environmental information processing,Drug efflux transporter/pump,693
694,"Environmental information processing - Drug efflux transporter/pump - M00738: Bacitracin resistance, BceAB transporter",M00738,"M00738: Bacitracin resistance, BceAB transporter",Environmental information processing,Drug efflux transporter/pump,694
695,Environmental information processing - Peptide and nickel transport system - M00739: Cationic peptide transport system,M00739,M00739: Cationic peptide transport system,Environmental information processing,Peptide and nickel transport system,695
696,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00740: Methylaspartate cycle,M00740,M00740: Methylaspartate cycle,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,696
697,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00741: Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",M00741,"M00741: Propanoyl-CoA metabolism, propanoyl-CoA => succinyl-CoA",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,697
698,"Environmental information processing - Drug resistance - M00742: Aminoglycoside resistance, protease FtsH",M00742,"M00742: Aminoglycoside resistance, protease FtsH",Environmental information processing,Drug resistance,698
699,"Environmental information processing - Drug resistance - M00743: Aminoglycoside resistance, protease HtpX",M00743,"M00743: Aminoglycoside resistance, protease HtpX",Environmental information processing,Drug resistance,699
700,"Gene set - Drug resistance - M00744: Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",M00744,"M00744: Cationic antimicrobial peptide (CAMP) resistance, protease PgtE",Gene set,Drug resistance,700
701,"Gene set - Drug resistance - M00745: Imipenem resistance, repression of porin OprD",M00745,"M00745: Imipenem resistance, repression of porin OprD",Gene set,Drug resistance,701
702,"Gene set - Drug resistance - M00746: Multidrug resistance, repression of porin OmpF",M00746,"M00746: Multidrug resistance, repression of porin OmpF",Gene set,Drug resistance,702
703,Environmental information processing - ABC-2 type and other transport systems - M00747: Bacitracin transport system,M00747,M00747: Bacitracin transport system,Environmental information processing,ABC-2 type and other transport systems,703
704,"Environmental information processing - Drug resistance - M00754: Nisin resistance, phage shock protein homolog LiaH",M00754,"M00754: Nisin resistance, phage shock protein homolog LiaH",Environmental information processing,Drug resistance,704
705,"Environmental information processing - Drug resistance - M00760: Erythromycin resistance, macrolide 2'-phosphotransferase I MphA",M00760,"M00760: Erythromycin resistance, macrolide 2'-phosphotransferase I MphA",Environmental information processing,Drug resistance,705
706,"Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00761: Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",M00761,"M00761: Undecaprenylphosphate alpha-L-Ara4N biosynthesis, UDP-GlcA => undecaprenyl phosphate alpha-L-Ara4N",Carbohydrate and lipid metabolism,Other carbohydrate metabolism,706
707,Environmental information processing - ABC-2 type and other transport systems - M00762: Copper-processing system,M00762,M00762: Copper-processing system,Environmental information processing,ABC-2 type and other transport systems,707
708,"Nucleotide and amino acid metabolism - Arginine and proline metabolism - M00763: Ornithine biosynthesis, mediated by LysW, glutamate => ornithine",M00763,"M00763: Ornithine biosynthesis, mediated by LysW, glutamate => ornithine",Nucleotide and amino acid metabolism,Arginine and proline metabolism,708
709,"Environmental information processing - Phosphotransferase system (PTS) - M00764: PTS system, fructoselysine/glucoselysine-specific II component",M00764,"M00764: PTS system, fructoselysine/glucoselysine-specific II component",Environmental information processing,Phosphotransferase system (PTS),709
710,"Environmental information processing - Drug efflux transporter/pump - M00765: Multidrug resistance, efflux pump Bmr",M00765,"M00765: Multidrug resistance, efflux pump Bmr",Environmental information processing,Drug efflux transporter/pump,710
711,"Environmental information processing - Drug resistance - M00766: Streptomycin resistance, deactivating enzyme StrAB",M00766,"M00766: Streptomycin resistance, deactivating enzyme StrAB",Environmental information processing,Drug resistance,711
712,"Environmental information processing - Drug efflux transporter/pump - M00767: Multidrug resistance, efflux pump OqxAB",M00767,"M00767: Multidrug resistance, efflux pump OqxAB",Environmental information processing,Drug efflux transporter/pump,712
713,"Environmental information processing - Drug efflux transporter/pump - M00768: Multidrug resistance, efflux pump GesABC",M00768,"M00768: Multidrug resistance, efflux pump GesABC",Environmental information processing,Drug efflux transporter/pump,713
714,"Gene set - Drug resistance - M00769: Multidrug resistance, efflux pump MexPQ-OpmE",M00769,"M00769: Multidrug resistance, efflux pump MexPQ-OpmE",Gene set,Drug resistance,714
715,Environmental information processing - Two-component regulatory system - M00770: PfeS-PfeR (enterobactin-dependent iron acquisition) two-component regulatory system,M00770,M00770: PfeS-PfeR (enterobactin-dependent iron acquisition) two-component regulatory system,Environmental information processing,Two-component regulatory system,715
716,Environmental information processing - Two-component regulatory system - M00771: FitF-FitH (insecticidal toxin regulation) two-component regulatory system,M00771,M00771: FitF-FitH (insecticidal toxin regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,716
717,Environmental information processing - Two-component regulatory system - M00772: HupT-HupR (hydrogenase synthesis regulation) two-component regulatory system,M00772,M00772: HupT-HupR (hydrogenase synthesis regulation) two-component regulatory system,Environmental information processing,Two-component regulatory system,717
718,"Secondary metabolism - Biosynthesis of secondary metabolites - M00773: Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",M00773,"M00773: Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin",Secondary metabolism,Biosynthesis of secondary metabolites,718
719,"Secondary metabolism - Biosynthesis of secondary metabolites - M00774: Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",M00774,"M00774: Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B",Secondary metabolism,Biosynthesis of secondary metabolites,719
720,"Secondary metabolism - Biosynthesis of secondary metabolites - M00775: Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",M00775,"M00775: Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin",Secondary metabolism,Biosynthesis of secondary metabolites,720
721,"Secondary metabolism - Biosynthesis of secondary metabolites - M00776: Pikromycin/methymycin/neomethymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin/neomethymycin",M00776,"M00776: Pikromycin/methymycin/neomethymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin/neomethymycin",Secondary metabolism,Biosynthesis of secondary metabolites,721
722,"Secondary metabolism - Biosynthesis of secondary metabolites - M00777: Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",M00777,"M00777: Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b",Secondary metabolism,Biosynthesis of secondary metabolites,722
723,"Secondary metabolism - Biosynthesis of secondary metabolites - M00778: Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",M00778,"M00778: Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide",Secondary metabolism,Biosynthesis of secondary metabolites,723
724,"Secondary metabolism - Biosynthesis of secondary metabolites - M00779: Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",M00779,"M00779: Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin",Secondary metabolism,Biosynthesis of secondary metabolites,724
725,"Secondary metabolism - Biosynthesis of secondary metabolites - M00780: Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",M00780,"M00780: Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline",Secondary metabolism,Biosynthesis of secondary metabolites,725
726,"Secondary metabolism - Biosynthesis of secondary metabolites - M00781: Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",M00781,"M00781: Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone",Secondary metabolism,Biosynthesis of secondary metabolites,726
727,"Secondary metabolism - Biosynthesis of secondary metabolites - M00782: Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",M00782,"M00782: Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin",Secondary metabolism,Biosynthesis of secondary metabolites,727
728,"Secondary metabolism - Biosynthesis of secondary metabolites - M00783: Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",M00783,"M00783: Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C",Secondary metabolism,Biosynthesis of secondary metabolites,728
729,"Secondary metabolism - Biosynthesis of secondary metabolites - M00784: Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",M00784,"M00784: Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A",Secondary metabolism,Biosynthesis of secondary metabolites,729
730,"Secondary metabolism - Biosynthesis of secondary metabolites - M00785: Cycloserine biosynthesis, arginine/serine => cycloserine",M00785,"M00785: Cycloserine biosynthesis, arginine/serine => cycloserine",Secondary metabolism,Biosynthesis of secondary metabolites,730
731,"Secondary metabolism - Biosynthesis of secondary metabolites - M00786: Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",M00786,"M00786: Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A",Secondary metabolism,Biosynthesis of secondary metabolites,731
732,"Secondary metabolism - Biosynthesis of secondary metabolites - M00787: Bacilysin biosynthesis, prephenate => bacilysin",M00787,"M00787: Bacilysin biosynthesis, prephenate => bacilysin",Secondary metabolism,Biosynthesis of secondary metabolites,732
733,"Secondary metabolism - Biosynthesis of secondary metabolites - M00788: Terpentecin biosynthesis, GGAP => terpentecin",M00788,"M00788: Terpentecin biosynthesis, GGAP => terpentecin",Secondary metabolism,Biosynthesis of secondary metabolites,733
734,"Secondary metabolism - Biosynthesis of secondary metabolites - M00789: Rebeccamycin biosynthesis, tryptophan => rebeccamycin",M00789,"M00789: Rebeccamycin biosynthesis, tryptophan => rebeccamycin",Secondary metabolism,Biosynthesis of secondary metabolites,734
735,"Secondary metabolism - Biosynthesis of secondary metabolites - M00790: Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",M00790,"M00790: Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin",Secondary metabolism,Biosynthesis of secondary metabolites,735
736,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00791: Manganese/zinc transport system",M00791,M00791: Manganese/zinc transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",736
737,"Environmental information processing - Metallic cation, iron-siderophore and vitamin B12 transport system - M00792: Manganese/zinc transport system",M00792,M00792: Manganese/zinc transport system,Environmental information processing,"Metallic cation, iron-siderophore and vitamin B12 transport system",737
738,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00793: dTDP-L-rhamnose biosynthesis,M00793,M00793: dTDP-L-rhamnose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,738
739,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00794: dTDP-6-deoxy-D-allose biosynthesis,M00794,M00794: dTDP-6-deoxy-D-allose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,739
740,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00795: dTDP-beta-L-noviose biosynthesis,M00795,M00795: dTDP-beta-L-noviose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,740
741,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00796: dTDP-D-mycaminose biosynthesis,M00796,M00796: dTDP-D-mycaminose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,741
742,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00797: dTDP-D-desosamine biosynthesis,M00797,M00797: dTDP-D-desosamine biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,742
743,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00798: dTDP-L-mycarose biosynthesis,M00798,M00798: dTDP-L-mycarose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,743
744,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00799: dTDP-L-oleandrose biosynthesis,M00799,M00799: dTDP-L-oleandrose biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,744
745,Carbohydrate and lipid metabolism - Other carbohydrate metabolism - M00800: dTDP-L-megosamine biosynthesis,M00800,M00800: dTDP-L-megosamine biosynthesis,Carbohydrate and lipid metabolism,Other carbohydrate metabolism,745
